image_title,000000,000033,000066,000099,0000cc,0000ff,003300,003333,003366,003399,0033cc,0033ff,006600,006633,006666,006699,0066cc,0066ff,009900,009933,009966,009999,0099cc,0099ff,00cc00,00cc33,00cc66,00cc99,00cccc,00ccff,00ff00,00ff33,00ff66,00ff99,00ffcc,00ffff,330000,330033,330066,330099,3300cc,3300ff,333300,333333,333366,333399,3333cc,3333ff,336600,336633,336666,336699,3366cc,3366ff,339900,339933,339966,339999,3399cc,3399ff,33cc00,33cc33,33cc66,33cc99,33cccc,33ccff,33ff00,33ff33,33ff66,33ff99,33ffcc,33ffff,660000,660033,660066,660099,6600cc,6600ff,663300,663333,663366,663399,6633cc,6633ff,666600,666633,666666,666699,6666cc,6666ff,669900,669933,669966,669999,6699cc,6699ff,66cc00,66cc33,66cc66,66cc99,66cccc,66ccff,66ff00,66ff33,66ff66,66ff99,66ffcc,66ffff,990000,990033,990066,990099,9900cc,9900ff,993300,993333,993366,993399,9933cc,9933ff,996600,996633,996666,996699,9966cc,9966ff,999900,999933,999966,999999,9999cc,9999ff,99cc00,99cc33,99cc66,99cc99,99cccc,99ccff,99ff00,99ff33,99ff66,99ff99,99ffcc,99ffff,cc0000,cc0033,cc0066,cc0099,cc00cc,cc00ff,cc3300,cc3333,cc3366,cc3399,cc33cc,cc33ff,cc6600,cc6633,cc6666,cc6699,cc66cc,cc66ff,cc9900,cc9933,cc9966,cc9999,cc99cc,cc99ff,cccc00,cccc33,cccc66,cccc99,cccccc,ccccff,ccff00,ccff33,ccff66,ccff99,ccffcc,ccffff,ff0000,ff0033,ff0066,ff0099,ff00cc,ff00ff,ff3300,ff3333,ff3366,ff3399,ff33cc,ff33ff,ff6600,ff6633,ff6666,ff6699,ff66cc,ff66ff,ff9900,ff9933,ff9966,ff9999,ff99cc,ff99ff,ffcc00,ffcc33,ffcc66,ffcc99,ffcccc,ffccff,ffff00,ffff33,ffff66,ffff99,ffffcc,ffffff
disgust_001,0.0635604838709677,2.01612903225806e-05,0.0,0.0,0.0,0.0,0.000116935483870968,6.85483870967742e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310483870967742,9.2741935483871e-05,0.0,0.0,0.0,0.0,2.82258064516129e-05,0.115552419354839,1.20967741935484e-05,0.0,0.0,0.0,0.0,0.000225806451612903,0.000169354838709677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000330645161290323,0.00069758064516129,0.0,0.0,0.0,0.0,0.0,0.00249193548387097,0.000217741935483871,0.0,0.0,0.0,0.0,0.000112903225806452,0.188072580645161,0.000100806451612903,0.0,0.0,0.0,0.0,0.000419354838709677,0.000298387096774193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41935483870968e-05,0.000274193548387097,0.0,0.0,0.0,0.0,0.0,0.000568548387096774,0.000217741935483871,0.0,0.0,0.0,0.0,8.06451612903226e-06,0.00190322580645161,0.000415322580645161,0.0,0.0,0.0,0.0,0.00019758064516129,0.146596774193548,2.01612903225806e-05,0.0,0.0,0.0,0.0,0.000116935483870968,5.64516129032258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06451612903226e-06,0.0,0.0,0.0,0.0,0.0,0.000137096774193548,8.46774193548387e-05,0.0,0.0,0.0,0.0,4.03225806451613e-06,0.00106048387096774,0.000108870967741935,0.0,0.0,0.0,0.0,3.62903225806452e-05,0.0165564516129032,0.0,0.0,0.0,0.0,0.0,4.03225806451613e-06,6.85483870967742e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62903225806452e-05,3.62903225806452e-05,0.0,0.0,0.0,0.0,0.0,0.000983870967741936,0.000100806451612903,0.0,0.0,0.0,0.0,8.46774193548387e-05,0.457391129032258
disgust_002,0.186539934231272,0.0292355511509527,0.0,0.0,0.0,0.0,0.0015946664264156,0.0914185323663228,0.00526149826568764,0.0,0.0,0.0,0.0,0.0,0.00376593540249561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00636064687598541,4.50470741925312e-05,0.0,0.0,0.0,0.0,0.00727960718951304,0.105941709085995,0.000351367178701743,0.0,0.0,0.0,0.0,0.013649263480337,0.01519888283256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108833731249155,0.0,0.0,0.0,0.0,0.0,0.0485517365647101,0.124582188386864,0.0,0.0,0.0,0.0,0.0,0.0650029280598225,0.0023064101986576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.50470741925312e-05,0.0,0.0,0.0,0.0,0.0,0.0648047209333754,0.119230595972792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disgust_003,0.147548939641109,0.0,0.0,0.0,0.0,0.0,6.72920065252855e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0439192495921697,0.0,0.0,0.0,0.0,0.0,0.0665171288743883,0.00912724306688417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8352365415987e-05,0.0,0.0,0.0,0.0,0.0,0.00813417618270799,0.0568862153344209,0.0,0.0,0.0,0.0,2.03915171288744e-06,0.0159991843393148,8.3605220228385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234013050570962,0.0,0.0,0.0,0.0,0.0,0.157524469820555,0.192932300163132,0.0,0.0,0.0,0.0,0.0,0.0569616639477977,9.58401305057096e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07830342577488e-06,0.0115884991843393,0.0,0.0,0.0,0.0,0.0,0.20596044045677,0.00297308319738989,0.0,0.0,0.0,0.0,0.0,7.54486133768352e-05,0.000171288743882545,4.07830342577488e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07830342577488e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disgust_004,0.41563829787234,0.000319148936170213,0.0,0.0,0.0,0.0,4.72813238770686e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0427304964539007,0.000933806146572104,0.0,0.0,0.0,0.0,0.0347281323877069,0.0274468085106383,0.00016548463356974,0.0,0.0,0.0,0.0,5.91016548463357e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00066193853427896,0.000118203309692671,0.0,0.0,0.0,0.0,0.00957446808510639,0.0416312056737589,0.000366430260047281,0.0,0.0,0.0,0.0,0.0218912529550827,0.00446808510638298,0.000118203309692671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18203309692671e-05,0.0,0.0,0.0,0.0,5.91016548463357e-05,0.00567375886524823,1.18203309692671e-05,0.0,0.0,0.0,0.0,0.0919503546099291,0.0300827423167849,0.00033096926713948,0.0,0.0,0.0,0.000106382978723404,0.00348699763593381,0.00148936170212766,0.000212765957446808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000212765957446808,0.000236406619385343,0.0,0.0,0.0,0.0,0.00216312056737589,0.0229550827423168,0.0,0.0,0.0,0.0,0.000354609929078014,0.109940898345154,0.0360756501182033,0.000118203309692671,0.0,0.0,0.0,0.0,0.00691489361702128,0.00148936170212766,0.000212765957446808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00264775413711584,0.0115839243498818,0.0,0.0,0.0,0.0,0.0,0.0677304964539007,0.00302600472813239,2.36406619385343e-05,0.0,0.0,0.0,0.0,0.0,0.0
disgust_005,0.647276041666667,0.0016625,0.0,0.0,0.0,0.0,1.35416666666667e-05,0.000701041666666667,1.77083333333333e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000303125,0.000357291666666667,0.0,0.0,0.0,0.0,0.00010625,0.0350604166666667,0.022875,0.00142395833333333,0.0,0.0,0.0,0.0,0.00369166666666667,0.0330520833333333,3.125e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875e-05,0.0140510416666667,0.00105520833333333,0.0,0.0,0.0,0.0,0.00767916666666667,0.0145760416666667,0.0438895833333333,0.0132020833333333,0.0,0.0,0.0,0.0,9.16666666666667e-05,0.0251375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.20833333333333e-06,6.25e-06,0.0,0.0,0.0,0.0,0.00144895833333333,0.0282625,0.001425,0.0,0.0,0.0,0.0,0.00496770833333333,0.00463020833333333,0.00595520833333333,0.001,0.0,0.0,0.0,0.0,2.29166666666667e-05,0.0016125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000134375,2.5e-05,0.0,0.0,0.0,0.0,0.011028125,0.0221010416666667,0.00108333333333333,0.0,0.0,0.0,0.0,0.0111520833333333,0.0262854166666667,0.000198958333333333,0.0,0.0,0.0,0.0,5.20833333333333e-06,1.5625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08333333333333e-06,8.33333333333334e-06,0.0,0.0,0.0,0.0,7.1875e-05,0.011596875,0.000265625,0.0,0.0,0.0,0.0,0.0001125,0.000332291666666667
disgust_006,2.42248062015504e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568071705426357,8.47868217054264e-05,0.0,0.0,0.0,0.0,0.0107437015503876,0.00266472868217054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00205910852713178,0.000884205426356589,0.0,0.0,0.0,0.0,0.0115794573643411,0.0610343992248062,0.0,0.0,0.0,0.0,0.0,0.0305959302325581,0.236203972868217,0.0,0.0,0.0,0.0,0.0,0.00700096899224806,1.21124031007752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00461482558139535,9.68992248062016e-05,0.0,0.0,0.0,0.0,0.139038275193798,0.0607679263565891,0.0,0.0,0.0,0.0,0.0182412790697674,0.0348473837209302,0.00150193798449612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000981104651162791,0.0505450581395349,0.000569282945736434,0.0,0.0,0.0,0.0,0.107727713178295,0.109968507751938,0.0,0.0,0.0,0.0,0.0,0.00102955426356589,0.00060562015503876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00237403100775194,0.0716327519379845,0.0,0.0,0.0,0.0,0.0,0.0120518410852713,0.0146802325581395,0.0,0.0,0.0,0.0,0.0,0.000157461240310078,0.0
disgust_007,0.507922636103152,0.0,0.0,0.0,0.0,0.0,7.16332378223496e-06,2.14899713467049e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.16332378223496e-06,0.0,0.0,0.0,0.0,0.0,0.0269054441260745,0.0,0.0,0.0,0.0,0.0,7.16332378223496e-06,7.16332378223496e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0372134670487106,0.0,0.0,0.0,0.0,0.0,1.43266475644699e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.16332378223496e-06,0.0,0.0,0.0,0.0,0.0,0.0779083094555874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.270265042979943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00532234957020057,0.0014756446991404,0.0,0.0,0.0,0.0,0.0101289398280802,0.0627865329512894
disgust_008,0.000206414734836456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0268361838225287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0868416277276233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152610806151613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226588939799483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506916027763916
disgust_009,0.000120770432066632,6.2467464862051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015450286309214,0.000389380530973451,0.0,0.0,0.0,0.0,0.00101197293076523,0.0301051535658511,1.66579906298803e-05,0.0,0.0,0.0,0.0,2.08224882873503e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2467464862051e-05,0.0,0.0,0.0,0.0,6.0385216033316e-05,0.0212847475273295,0.0002852680895367,0.0,0.0,0.0,0.0,0.00908693388859969,0.0151483602290474,1.66579906298803e-05,0.0,0.0,0.0,0.0,8.32899531494014e-06,4.16449765747007e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00129724102030193,0.000104112441436752,0.0,0.0,0.0,0.0,0.00728370640291515,0.0234856845393024,0.000104112441436752,0.0,0.0,0.0,0.0,0.00617386777719938,0.00353149401353462,1.24934929724102e-05,0.0,0.0,0.0,0.0,6.2467464862051e-06,1.24934929724102e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04112441436752e-05,4.16449765747007e-06,0.0,0.0,0.0,0.0,0.00667152524726705,0.0125080687142113,3.53982300884956e-05,0.0,0.0,0.0,8.12077043206663e-05,0.0848932847475273,0.0657095262883915,2.08224882873503e-05,0.0,0.0,0.0,2.08224882873503e-06,0.0183800104112441,0.0103800104112441,4.37272254034357e-05,0.0,0.0,0.0,0.0,0.000262363352420614,9.37011972930765e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04112441436752e-05,6.2467464862051e-06,0.0,0.0,0.0,0.0,4.99739718896408e-05,0.000174908901613743,8.95366996356065e-05,0.0,0.0,0.0,6.2467464862051e-06,0.0170432066631963,0.0185840707964602,1.45757418011452e-05,0.0,0.0,0.0,2.49869859448204e-05,0.0600812077043207,0.0291952108276939,4.37272254034357e-05,0.0,0.0,0.0,0.0,0.0114003123373243,0.54301301405518
disgust_010,0.00246666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115095833333333,0.0,0.0,0.0,0.0,0.0,0.0237,0.104075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0885541666666667,0.0,0.0,0.0,0.0,0.0,0.0908708333333333,0.39285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0358666666666667,0.0,0.0,0.0,0.0,0.0,0.0090375,0.0564958333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017425,0.0,0.0,0.0,0.0,0.0,0.0060375,0.0526208333333333,0.0,0.0,0.0,0.0,0.0,4.16666666666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00234166666666667,4.16666666666667e-06,0.0,0.0,0.0,0.0,0.000829166666666667,0.0016875
