Location, Age ,Gender,Cheap,Reliability / Dependability,Trust,Security,Speed,Fun,High Quality,High Technology,Loneliness / Desperation,Fear / Terror,Disease / Health Problems,Courage / Bravery,Fav Color,Least Fav Color,,,,,,,,,,,
1, 2 ,3,4,5,6,7,8,9, 10 ,11,12,13,14,15,16,17, 18 ,19,20,21,22,23,24,25, 26 ,27,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States, 26 ,Male,Brown,White,White,Blue,Grey,Yellow,Black,Black,Purple,Red,Orange,White,Blue,Brown,4,5,4,1,3,2,1,5,4,5,2
Philippines, 22 ,Female,Brown,White,Yellow,Blue,Red,Yellow,Black,Black,Purple,Red,Red,Purple,Red,Brown,3,5,5,1,3,3,1,3,3,1,1
United States, 25 ,Female,Orange,Blue,Green,Grey,Red,Purple,Black,Blue,White,Black,Yellow,Red,Red,Yellow,3,4,5,1,5,3,4,4,1,2,1
United States, 35 ,Male,Yellow,Black,Grey,Grey,Red,Orange,Black,Blue,Black,Black,Brown,Blue,Black,White,4,5,5,1,5,4,3,5,1,5,5
United States, 27 ,Female,Grey,Black,Green,Blue,Red,Orange,Black,Black,Brown,Red,Yellow,Purple,Blue,Purple,3,4,4,1,4,2,2,3,1,1,1
United States, 26 ,Female,Yellow,Black,Purple,White,Red,Blue,Black,Grey,Grey,Red,Red,Purple,Black,Orange,3,5,5,1,5,5,1,3,1,1,1
United States, 25 ,Female,Yellow,Blue,Blue,Green,Red,Orange,Green,Blue,Grey,Red,Green,Purple,Purple,Yellow,4,5,4,1,4,3,1,1,1,1,1
United States, 27 ,Female,White,Blue,Blue,Green,Red,Purple,Grey,Grey,Grey,Black,Yellow,Purple,Blue,Grey,4,5,4,1,3,5,1,1,1,1,3
United States, 26 ,Female,Red,Blue,Grey,Black,Yellow,Orange,Purple,Brown,Grey,White,Grey,Purple,Orange,Grey,4,4,2,1,2,2,4,4,4,4,3
United States, 24 ,Female,Brown,Grey,Blue,Blue,Red,Yellow,Grey,Black,Green,Black,Green,Purple,White,Green,4,5,4,2,5,4,3,5,4,3,4
United States, 18 ,Female,Orange,Blue,White,Red,Yellow,Purple,Blue,Black,Brown,Grey,Grey,Purple,Green,Purple,3,5,3,2,2,4,1,5,2,1,3
United States, 22 ,Male,Orange,Blue,Brown,White,Red,Yellow,Black,Blue,Grey,Red,Grey,Blue,Green,Yellow,4,5,2,4,4,3,2,4,3,2,1
United States, 19 ,Male,Brown,Black,Grey,Red,Green,Yellow,Blue,Blue,Grey,Red,Red,Blue,Blue,Brown,2,4,4,1,5,3,3,5,5,5,5
United States, 26 ,Male,White,Blue,Yellow,Red,Red,Orange,Green,Grey,Brown,Red,Yellow,Purple,Blue,Purple,3,5,4,1,5,5,5,5,5,2,1
United States, 28 ,Male,Grey,Yellow,Blue,Brown,Red,Orange,Green,Yellow,Black,Black,Grey,Red,Blue,Purple,2,5,4,2,5,5,3,5,5,4,5
United States, 21 ,Female,Red,Green,White,Green,Yellow,Orange,Blue,Grey,Black,Black,Brown,Purple,Blue,Orange,2,5,5,1,5,5,1,5,1,3,3
United States, 23 ,Male,Brown,Blue,Blue,Red,Green,Red,Yellow,Yellow,Black,Black,Black,Purple,Brown,Green,3,5,4,3,4,4,4,5,5,4,1
Canada, 22 ,Male,Orange,Purple,Yellow,Blue,Red,Green,White,White,Grey,Black,Black,Purple,Blue,Orange,3,5,4,3,5,5,4,5,3,5,2
United States, 23 ,Female,Brown,Black,White,Blue,Red,Green,Black,Blue,Brown,Red,Orange,Red,Blue,Orange,5,5,4,1,4,2,1,1,1,1,1
United States, 38 ,Male,Yellow,Black,Blue,Black,Red,Orange,Black,Grey,Brown,Red,White,Red,Black,Yellow,2,5,3,1,2,2,2,1,1,1,1
United States, 20 ,Male,Brown,Black,Black,Red,Red,Yellow,Grey,Grey,Black,Red,Brown,Blue,Blue,Brown,2,4,5,1,3,3,3,5,5,2,1
United States, 24 ,Male,White,Grey,Blue,Blue,Red,Orange,Black,White,Grey,Red,Green,Black,Blue,Yellow,3,4,5,2,3,4,3,4,3,2,2
Cuba, 33 ,Female,Orange,Green,White,Blue,Red,Red,Purple,Brown,Grey,Black,Grey,Red,Blue,Orange,3,5,3,5,3,3,4,5,5,1,4
United States, 22 ,Female,Yellow,Blue,Blue,Grey,Red,Orange,White,Black,Blue,Orange,Brown,Purple,Blue,Purple,3,5,5,2,4,3,2,5,3,5,2
United States, 22 ,Male,Brown,Blue,White,Blue,Red,Yellow,Blue,Black,Black,Black,Black,Purple,Blue,Brown,3,5,4,3,5,5,5,5,3,2,2
United States, 25 ,Female,Orange,Purple,Purple,Purple,Red,Red,Black,Black,Black,Black,Black,Purple,Purple,Orange,3,5,3,1,5,5,3,5,1,1,1
United States, 26 ,Male,Black,Red,Grey,Purple,Brown,White,Orange,Yellow,Green,Blue,White,Red,White,Black,2,5,5,1,5,3,2,2,2,2,2
Canada, 21 ,Male,Yellow,Blue,Red,Green,White,Orange,Blue,Green,Grey,Black,Black,Red,Black,Brown,4,4,3,1,2,2,4,5,5,3,2
United States, 26 ,Male,Grey,Black,Blue,Yellow,Black,Yellow,Grey,Yellow,Green,Orange,White,Red,Red,Green,2,5,5,1,5,3,2,2,2,2,2
France, 40 ,Female,Yellow,Blue,Purple,Green,Red,Orange,Grey,Purple,Black,Red,Red,Green,Purple,Orange,5,3,3,2,1,1,3,1,2,1,1
United States, 32 ,Female,Yellow,Black,Brown,Blue,Red,Purple,Green,Red,Grey,Red,Green,Red,Purple,Orange,2,3,4,1,3,2,4,3,1,1,1
United States, 15 ,Female,White,Green,Blue,Black,Red,Red,Black,Blue,Brown,Black,Red,White,Green,Orange,4,5,3,1,4,3,1,5,2,1,1
United States, 22 ,Male,Red,Blue,Yellow,Red,Black,Orange,White,Grey,Black,White,Red,Purple,Yellow,Purple,4,5,3,1,3,2,3,5,3,2,2
United States, 24 ,Male,Brown,Blue,Yellow,Green,Red,Blue,Green,Green,Black,Black,Black,White,Green,Orange,4,5,2,1,5,3,5,5,5,1,3
United States, 20 ,Female,Brown,Black,Blue,Red,Red,Yellow,Black,Black,Black,Grey,Grey,White,Blue,Orange,3,5,5,2,5,5,2,5,3,4,5
United States, 33 ,Female,Orange,Blue,Blue,White,Red,Purple,Blue,Yellow,Black,Black,Grey,Red,Blue,Orange,3,4,4,1,4,4,2,4,3,2,3
Korea, 27 ,Male,Green,Blue,Blue,Black,Yellow,Red,Grey,Purple,Grey,Red,Red,Blue,Blue,Orange,3,3,3,1,4,3,4,4,2,3,2
Brazil, 20 ,Female,Green,Grey,Blue,Red,Yellow,Orange,Blue,Black,Brown,Grey,White,Red,Orange,Brown,3,4,4,1,4,3,3,5,5,4,4
United States, 28 ,Female,Green,Blue,Purple,Black,Red,Orange,Grey,Grey,White,Red,Green,Red,Purple,Brown,2,4,3,1,4,3,2,3,3,3,3
United States, 17 ,Male,Yellow,Green,Orange,Green,Orange,Orange,Grey,Blue,Grey,Black,White,Orange,Blue,Purple,3,4,2,2,3,3,4,4,3,3,2
United States, 20 ,Male,Grey,Red,Red,Orange,Green,Green,Blue,Blue,Black,Yellow,Black,White,Red,Brown,2,5,2,1,3,3,2,5,3,1,2
United States, 21 ,Male,Brown,Blue,Purple,Purple,Red,Orange,Black,Black,Grey,Red,Grey,Blue,Green,Yellow,2,4,3,2,3,2,3,5,5,3,3
United States, 22 ,Male,Yellow,Black,Green,Black,Red,Red,White,Grey,Blue,Black,Green,White,Blue,Orange,4,5,3,2,4,3,4,5,4,1,5
United States, 27 ,Male,Purple,Green,Green,Blue,Red,Orange,Black,Grey,Blue,Red,Brown,Purple,Orange,Purple,3,5,2,1,4,4,2,5,5,2,2
United States, 19 ,Female,Yellow,Grey,Green,Blue,Red,Red,Purple,Blue,Black,Black,Black,Red,Purple,Brown,5,5,3,1,2,3,4,4,2,4,2
United States, 20 ,Female,White,Blue,Blue,White,Red,Yellow,Black,Grey,Grey,Red,Brown,Blue,Purple,Yellow,5,5,3,1,4,2,2,3,5,5,2
United Kingdom, 20 ,Female,Red,Black,White,Black,Blue,Yellow,Blue,Blue,Black,Orange,Brown,Blue,Red,Purple,4,5,5,1,5,4,2,4,4,3,4
United States, 21 ,Female,Brown,Black,Blue,Purple,Red,Yellow,Black,Black,Black,Red,Brown,Red,Purple,Brown,3,5,4,1,4,2,3,3,3,2,2
China, 22 ,Female,Red,Black,Black,Red,Red,Yellow,Green,Blue,Grey,Orange,Yellow,Blue,Purple,Grey,4,5,5,2,5,5,3,3,3,4,4
United States, 23 ,Female,Brown,Black,White,Blue,Red,Orange,Purple,Black,Grey,Red,Brown,Yellow,Purple,Brown,3,5,4,1,2,3,2,3,4,3,3
United States, 22 ,Female,Orange,Blue,Red,Blue,Red,Purple,White,Black,Grey,Red,Orange,Red,Green,Grey,3,5,4,1,4,2,3,3,1,1,3
United States, 24 ,Male,Yellow,Blue,Purple,Green,Red,Red,Blue,Grey,Black,Black,Grey,Red,Blue,Grey,2,5,3,1,5,3,3,2,1,1,1
United States, 29 ,Male,Orange,Blue,Purple,Blue,Purple,Orange,Black,Black,White,Red,Grey,Red,Blue,White,4,5,4,2,5,5,2,4,2,3,1
United States, 26 ,Male,Red,Grey,Blue,Black,Yellow,Orange,Black,Blue,Brown,Red,Brown,Blue,Grey,Purple,4,5,3,2,5,1,3,5,3,2,1
United States, 21 ,Female,Red,Black,Blue,Black,Red,Purple,Black,Black,Grey,Black,Yellow,Purple,Red,Green,3,5,5,1,3,3,2,4,3,2,2
United States, 21 ,Female,Green,Purple,Purple,Purple,Red,Red,Black,Black,Black,White,Yellow,Purple,Purple,Brown,2,4,4,1,4,3,3,4,4,1,1
United States, 20 ,Male,Yellow,Grey,Blue,Blue,Red,Orange,Grey,Grey,Black,Black,Black,Grey,Green,Brown,3,4,4,1,4,4,4,3,3,2,2
United States, 20 ,Male,Black,Black,Blue,Orange,White,Yellow,Grey,White,Black,Red,Yellow,Brown,Blue,Yellow,3,5,5,1,4,1,5,5,5,5,3
Mexico, 20 ,Female,Orange,Blue,White,Yellow,Red,Yellow,Black,Black,Grey,Red,Brown,Purple,Red,Brown,4,5,2,1,3,3,3,2,4,3,3
United States, 24 ,Male,White,Black,White,Blue,Yellow,Red,Red,Green,Grey,Black,White,Purple,Blue,Grey,4,4,5,3,5,4,4,5,4,3,5
United States, 20 ,Female,Orange,Blue,Red,Green,Red,Purple,Grey,White,Black,Black,Brown,Blue,Red,Brown,5,4,3,1,3,4,1,4,2,2,2
United States, 22 ,Male,Orange,Grey,Blue,Red,Red,Orange,Blue,Blue,Brown,Red,Brown,Blue,Black,Orange,2,2,2,1,4,2,2,5,3,5,4
United States, 21 ,Female,Red,Black,Red,Blue,White,Purple,Black,Black,Grey,Red,Black,Purple,Blue,Yellow,5,5,3,1,4,5,2,4,2,2,4
United States, 20 ,Female,Red,Blue,Blue,Purple,Orange,Orange,Black,Blue,White,Red,Yellow,Red,Blue,Grey,3,4,5,2,3,2,2,3,2,3,3
United States, 23 ,Female,Orange,White,Purple,Brown,Red,Green,Blue,Blue,Grey,Black,Red,Blue,Green,Orange,3,5,5,1,4,3,1,1,1,1,1
United States, 23 ,Female,Red,Blue,Blue,Black,Red,Purple,Black,Black,Grey,White,Red,Purple,Purple,Brown,4,4,2,1,4,4,4,4,4,2,2
United States, 22 ,Female,Grey,Black,White,Blue,Red,Red,Purple,Green,Brown,Yellow,Orange,Purple,Blue,Grey,3,4,4,1,3,2,2,3,2,1,2
United States, 24 ,Female,Orange,Blue,Green,Red,Green,Green,Blue,Blue,Purple,Purple,Brown,Black,Blue,Yellow,4,5,4,1,5,5,3,4,4,1,1
Korea, 20 ,Female,White,Black,Blue,Black,Red,Yellow,Black,Grey,Brown,Red,Red,Blue,Blue,Brown,4,4,3,1,3,3,2,5,5,4,5
United States, 22 ,Female,Orange,Red,Purple,Green,Red,Purple,Green,Grey,Orange,Red,Brown,Blue,Green,Yellow,3,4,5,1,3,3,3,4,4,3,2
United States, 20 ,Female,Orange,Blue,White,Red,Red,Yellow,Black,Black,Black,Black,Red,Brown,Blue,Brown,3,5,3,1,3,3,2,2,4,2,1
United States, 18 ,Male,Yellow,Blue,Green,Red,Orange,Green,Blue,Blue,Brown,Red,Purple,Purple,Green,Yellow,2,4,3,1,5,4,3,3,2,1,1
Philippines, 28 ,Male,Yellow,Blue,Blue,Blue,Red,Purple,Black,Grey,White,Red,Yellow,Black,Green,Yellow,3,4,3,2,3,3,2,2,2,2,2
United States, 19 ,Female,Yellow,Blue,Blue,Blue,Red,Yellow,Black,Black,Grey,Black,Orange,Blue,Purple,Orange,4,5,2,1,3,3,3,5,5,2,2
United States, 19 ,Male,Orange,White,White,Red,White,Purple,White,Blue,Black,Black,Black,Blue,White,Orange,3,5,3,2,2,1,4,3,4,2,2
United States, 21 ,Female,Brown,Blue,Blue,White,Yellow,Red,Black,White,Black,Black,Grey,Purple,Red,Grey,3,2,4,1,4,2,3,5,3,4,1
United States, 20 ,Male,Yellow,Blue,White,Brown,Red,Blue,White,Grey,Grey,Black,Green,Blue,Blue,Purple,2,5,3,1,4,1,4,5,4,5,5
United States, 18 ,Male,Black,Red,Red,Blue,Grey,Orange,White,Grey,Black,Red,Brown,Purple,Grey,Purple,2,5,3,4,2,2,3,5,5,2,3
Mexico, 49 ,Female,Orange,Black,Blue,Blue,Red,Red,Black,Black,Grey,Red,Grey,Red,Blue,Orange,3,5,5,1,5,5,2,2,4,4,4
Romania, 23 ,Female,Brown,Black,White,White,Red,Blue,Black,Blue,Grey,Red,Yellow,Blue,Brown,Orange,4,5,4,1,4,2,1,1,1,1,1
United States, 20 ,Female,Yellow,Blue,Purple,Green,Red,Yellow,Black,Black,Brown,Black,Red,Purple,Black,Orange,3,5,4,2,3,2,2,3,3,3,2
United States, 24 ,Male,Yellow,Blue,Purple,Blue,Red,Orange,Black,Blue,Grey,Green,Grey,Blue,Blue,Purple,3,5,4,2,3,3,2,4,4,2,3
United States, 32 ,Male,Orange,Black,White,Blue,Red,Yellow,Black,White,Grey,Red,Orange,Red,Black,Orange,3,5,5,1,3,3,1,2,3,1,4
Vietnam, 60 ,Male,Brown,White,White,Black,Red,Yellow,Yellow,Blue,Grey,Red,Black,Red,Grey,Orange,1,4,4,1,5,5,1,1,1,4,5
United States, 28 ,Male,Grey,Blue,White,Blue,Red,Yellow,Black,Grey,Blue,Yellow,Black,Red,Blue,Brown,4,4,3,1,2,1,4,2,2,2,2
United States, 32 ,Female,Yellow,Brown,White,Grey,Red,Blue,Black,Green,Grey,Red,Yellow,Blue,Green,Orange,2,5,3,1,2,3,2,2,1,4,3
Iceland, 20 ,Female,Grey,Black,Red,Blue,Red,Purple,Black,White,Brown,Red,Grey,Blue,Purple,Brown,5,5,3,1,3,2,3,5,4,5,2
United States, 21 ,Female,Orange,Blue,Purple,Blue,Black,Green,Black,Blue,Yellow,White,White,Red,Purple,Yellow,4,5,5,3,3,3,3,5,4,3,1
