Quality,Red,Orange,Yellow,Green,Blue,Purple,Brown,White,Grey,Black,None
High Quality,0.034482758620689655,0.004310344827586207,0.017241379310344827,0.0603448275862069,0.1896551724137931,0.05172413793103448,0.03017241379310345,0.09482758620689655,0.09482758620689655,0.4224137931034483,0.0
Courage / Bravery,0.28448275862068967,0.01293103448275862,0.02586206896551724,0.03879310344827586,0.21982758620689655,0.28879310344827586,0.017241379310344827,0.08189655172413793,0.01293103448275862,0.017241379310344827,0.0
Fav Color,0.08189655172413793,0.04741379310344827,0.02586206896551724,0.13793103448275862,0.43103448275862066,0.14224137931034483,0.02586206896551724,0.017241379310344827,0.017241379310344827,0.07327586206896551,0.0
Least Fav Color,0.008620689655172414,0.28879310344827586,0.12931034482758622,0.04310344827586207,0.004310344827586207,0.12931034482758622,0.23275862068965517,0.03879310344827586,0.1206896551724138,0.004310344827586207,0.0
Fear / Terror,0.4051724137931034,0.03879310344827586,0.03017241379310345,0.017241379310344827,0.004310344827586207,0.008620689655172414,0.021551724137931036,0.03879310344827586,0.05172413793103448,0.38362068965517243,0.0
Reliability / Dependability,0.02586206896551724,0.01293103448275862,0.01293103448275862,0.04310344827586207,0.4224137931034483,0.03879310344827586,0.06465517241379311,0.07758620689655173,0.0603448275862069,0.2413793103448276,0.0
Fun,0.16379310344827586,0.27155172413793105,0.25862068965517243,0.06465517241379311,0.04741379310344827,0.1724137931034483,0.0,0.021551724137931036,0.0,0.0,0.0
Speed,0.7543103448275862,0.03879310344827586,0.07327586206896551,0.03017241379310345,0.008620689655172414,0.004310344827586207,0.004310344827586207,0.03879310344827586,0.008620689655172414,0.03879310344827586,0.0
Trust,0.05603448275862069,0.008620689655172414,0.07327586206896551,0.11206896551724138,0.34051724137931033,0.07758620689655173,0.03879310344827586,0.21120689655172414,0.03879310344827586,0.04310344827586207,0.0
High Technology,0.02586206896551724,0.017241379310344827,0.03879310344827586,0.05172413793103448,0.22844827586206898,0.034482758620689655,0.017241379310344827,0.08620689655172414,0.23275862068965517,0.2672413793103448,0.0
Disease / Health Problems,0.11637931034482758,0.05172413793103448,0.13793103448275862,0.125,0.01293103448275862,0.021551724137931036,0.1853448275862069,0.03879310344827586,0.1939655172413793,0.11637931034482758,0.0
Security,0.09482758620689655,0.021551724137931036,0.03879310344827586,0.11637931034482758,0.28448275862068967,0.04310344827586207,0.07758620689655173,0.09913793103448276,0.06896551724137931,0.15517241379310345,0.0
Loneliness / Desperation,0.0,0.008620689655172414,0.01293103448275862,0.017241379310344827,0.06896551724137931,0.034482758620689655,0.125,0.04310344827586207,0.43103448275862066,0.25862068965517243,0.0
Cheap,0.08620689655172414,0.2629310344827586,0.21551724137931033,0.0603448275862069,0.008620689655172414,0.04310344827586207,0.1336206896551724,0.09051724137931035,0.08189655172413793,0.017241379310344827,0.0
